Mode,Total Energy (J),Total Hashes,Total Mined Blocks,Accepted Blocks,Tips Left,Unknown Parent Events,Avg Difficulty
CMDA,0.02499344,4998688,1,1,1,0,1048576.0
FIXED,0.025177005000000002,5035401,3,3,3,0,1048576.0
LOWCMDA,0.025607900000000003,5121580,8,8,4,0,1045209.6
