Mode,Total Energy (J),Total Hashes,Total Mined Blocks,Accepted Blocks,Tips Left,Unknown Parent Events,Avg Difficulty
CMDA,0.020643985,4128797,4,4,4,0,1048576.0
FIXED,0.02173269,4346538,5,5,2,0,1361752.6
LOWCMDA,0.020459995,4091999,3,3,3,0,1048576.0
